Placement,Name,Power Ranking,PR Rank,Region,Platform
100,Fullpieceby2009,561,13181,EU,PC
101,smooth couscousΨ,276,24473,EU,PC
102,St_Zaur,193,33113,EU,PC
103,prime sosi,1260,6438,EU,PC
104,ENJ Gruszka 猫,975,8073,EU,PC
105,Parcafvǃ,3078,368,ME,CONSOLE
106,lowzyfnz.ts4,744,10268,EU,PC
107,Qune stinksawi,985,2147,ZB_ASIA,PC
108,fv dodoADC,217,30041,EU,PC
109,co ty robysz krw,1497,5502,EU,PC
110,NeKxOo 13,2493,3379,EU,PC
111,Delioz 7,25,129862,EU,PC
112,MZ Bilal,954,8235,EU,PC
113,worzy Ӝ,798,9640,EU,PC
114,Boxed_by_DayMix,5,143503,ZB_ME,PC
115,Jxrno .,13854,618,EU,PC
116,Squalus fvǃ,674,11209,EU,PC
117,Arctis Layn7,398,3458,EU,CONSOLE
118,ᶠᴿᴬᴺᴷᴸᴵᴺ ᶳᴬᴵᴺᵀ,226,29029,EU,PC
119,pengi mvp,1047,7542,EU,PC
120,Zorkoo7,3313,2564,EU,PC
121,VCGO Neyzzen,20654,434,EU,PC
122,nosh V2.12ǃ,1340,6082,EU,PC
123,LixxFN1,1534,854,EU,CONSOLE
125,GN Moxy,2484,3394,EU,PC
126,GOAT. ALMOBS,167,37179,EU,PC
127,Knetty.,1542,5336,EU,PC
128,HvK Nali Prime,1192,6736,EU,PC
129,Øbi7o.,305,7591,ZB_BR,PC
130,Iskoszn 74,115,11355,EU,CONSOLE
131,liberez batbat ツ,50,85393,EU,PC
132,pablinhoo jr.,3096,364,ME,CONSOLE
133,NIP wissam bää,323,21444,EU,PC
134,stainato,13,183839,EU,PC
135,nayzou fv,4202,2031,EU,PC
136,la full race유,183,34477,EU,PC
137,Яøturier〩,79,25395,ZB_ME,PC
138,tommyking47,196,32703,EU,PC
139,dark rodenzo,671,11260,EU,PC
140,Zo Zocian,8113,118,ZB_ASIA,PC
141,bartY281,81,62892,EU,PC
142,lyzix 스,2597,3253,EU,PC
143,C-Tsubasa008,29,118509,EU,PC
144,JSK nayzyx,65,29172,ZB_BR,PC
145,imu 95e10,14,174229,EU,PC
146,YvngCrz-,1883,4420,EU,PC
147,zZertox 公,594,2300,EU,CONSOLE
148,BTB AdevaMontana,1198,6702,EU,PC
149,SnixGOTY 7,126,46096,EU,PC
150,abc solo 7zr,2202,3810,EU,PC
151,Karax ma bz ptn,4247,2008,EU,PC
152,Twitch Tozyris_,47,81116,NAC,PC
153,NAJMAN 2137 2115,87,60225,EU,PC
154,Hakimi 2,1613,5115,EU,PC
155,LebonvieuxSweyz,168,36959,EU,PC
156,SAYFER COMEBACK,143,42087,EU,PC
157,twtr VaiiintFN,2642,3197,EU,PC
158,JuniorrMazz,1515,874,EU,CONSOLE
159,2R Sami,15363,563,EU,PC
160,ASG Nejii97,4553,1884,EU,PC
161,KYLIAN7 MBAPPE,893,8744,EU,PC
162,MATHOR MATHOR,13387,639,EU,PC
163,Slayer_CAMIKAZ,432,16589,EU,PC
164,MizTeCarry_,946,8287,EU,PC
165,rewith fv.,11,198735,EU,PC
166,KvïsCOW,10346,838,EU,PC
167,kyvt is back,985,7994,EU,PC
168,unknw GOTY,637,3909,ZB_NAC,PC
169,Fatty but Fast.,9605,58,ZB_ME,PC
170,playboi miskinzz,345,3983,EU,CONSOLE
171,TWH Rxyznnnfv ǃ,438,16384,EU,PC
172,raizoxtheboucher,361,19412,EU,PC
173,Paps zhugo,432,16578,EU,PC
174,ACB_Snobary,17,60266,EU,CONSOLE
175,cyclone yummyǃ,1805,4605,EU,PC
176,SmikukFn,25,129663,EU,PC
177,pryxqt 73,279,24257,EU,PC
178,HvK EnƵƶo ᵔᴥᵔ,1728,4800,EU,PC
179,ES9 King,4453,1593,ME,PC
180,Juleejinx,4973,1737,EU,PC
181,Farelzr ヤ,382,3595,EU,CONSOLE
182,DeceɴtGull4917,966,719,ZB_ME,CONSOLE
183,egorchyoo,196,10371,ZB_ASIA,PC
184,felixbasile,146,15313,ZB_BR,PC
185,Twitch alvarox_1,721,1711,NAC,CONSOLE
186,ITA Mxrco 2009,2662,3177,EU,PC
187,TWH Moon,673,11225,EU,PC
188,YoD SENSEN,560,10595,ME,PC
189,meu chorrofv,36,91716,ME,PC
190,Zzzenoob.,565,2433,EU,CONSOLE
191,K1llerAuraKingzZ,670,11271,EU,PC
192,Milan GOTY PRIME,204,26094,BR,PC
193,babababawwwwwww,1321,6170,EU,PC
194,Bivolx9,927,8439,EU,PC
196,vifoxz.,602,12379,EU,PC
197,Jawd.zd,475,4864,ZB_BR,PC
198,miggeman14,1597,5175,EU,PC
199,G R O G U,100,54876,EU,PC
